3D-вишивка	3dвишивка
DTF	dtf
FLEX (плівка)	flexплівка
вишивка	вишивка
Вишивка	вишивка
Гравіювання	гравіювання
деколь	деколь
Деколь	деколь
ДТФ	дтф
дтф-друк	дтфдрук
ДТФ-друк	дтфдрук
Етикетка брендована	етикеткабрендована
кольорове дзеркальн е гравіювання	кольороведзеркальнегравіювання
Конгрев (тиснення)	конгревтиснення
лазерне г равіювання	лазернегравіювання
лазерне гравіювання	лазернегравіювання
можливість нанесення дзеркального гравіювання	можливістьнанесеннядзеркальногогравіювання
наліпка	наліпка
Наліпка	наліпка
Офсетний друк	офсетнийдрук
смоляна наліпка	смолянаналіпка
смоляна шильда	смолянашильда
сублімація	сублімація
Сублімація	сублімація
Сублімація 4+0	сублімація40
Сублімація 4+4	сублімація44
т амподрук	тамподрук
Тампо	тампо
тамподрук	тамподрук
Тамподрук	тамподрук
термодрук	термодрук
термотрансфер	термотрансфер
термотрансфер (DTF)	термотрансферdtf
термотранфер	термотранфер
Тиснення	тиснення
тиснення з фольгою	тисненнязфольгою
Трафаретний друк	трафаретнийдрук
Уф	уф
УФ	уф
УФ - друк	уфдрук
УФ -друк	уфдрук
УФ дрк	уфдрк
уф друк	уфдрук
УФ друк	уфдрук
Уф- друк	уфдрук
УФ- друк	уфдрук
УФ-DTF	уфdtf
Уф-друк	уфдрук
УФ-друк	уфдрук
уф-дтф	уфдтф
Уф-дтф	уфдтф
УФ-ДТФ	уфдтф
Уф-Дтф друк	уфдтфдрук
Флекс	флекс
флексодрук	флексодрук
Флексодрук	флексодрук
Флок	флок
ц ифровий друк	цифровийдрук
цифровий друк	цифровийдрук
Цифровий друк	цифровийдрук
шеврон	шеврон
Шеврон	шеврон
Шиврон	шиврон
шильда смоляна	шильдасмоляна
шовкодрук	шовкодрук
Шовкодрук	шовкодрук
шовкотрафарет	шовкотрафарет
Шовкотрафарет	шовкотрафарет
шоврон	шоврон
