path,size_bytes,size_human,created_at,updated_at
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-brief-files/2ead7995-f310-47d0-93c0-975d9dd0f811/1773908010733-AI_logo_Ciklum_backpack_color_110x180_mm_2_.ai",1377076,"1.31 MB","2026-03-19T08:13:31.50279+00:00","2026-03-19T08:13:31.50279+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-brief-files/d944f8df-dd25-4b49-a1bb-94c282c2ac56/1773734160084-design-upload-test.mp4",934,"934 B","2026-03-17T07:56:00.394307+00:00","2026-03-17T07:56:00.394307+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-brief-files/d944f8df-dd25-4b49-a1bb-94c282c2ac56/1773734160626-design-upload-test.pptx",6295,"6.1 KB","2026-03-17T07:56:00.826126+00:00","2026-03-17T07:56:00.826126+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-brief-files/dd80d2c1-07f9-4c89-bada-ba70b0c6adb2/1773994016518-Box_92x92x97_KArton_300g.ai",86369,"84.3 KB","2026-03-20T07:55:16.562612+00:00","2026-03-20T07:55:16.562612+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/042519ff-a8cb-4418-bab7-6f12a36a4a94/1773749319339-full_vertical_logo_white_pink_1.pdf",53609,"52.4 KB","2026-03-17T12:08:39.709551+00:00","2026-03-17T12:08:39.709551+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/0c608d66-5500-4cd8-8a0e-bb88eb823e9d/1775114174666-LOGO_KNESS.ai",27754,"27.1 KB","2026-04-02T07:16:15.491849+00:00","2026-04-02T07:16:15.491849+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/11c2c12e-c94e-4450-b4e5-33f76b8c6c2d/1774446563003-raps_clean____.docx",132975,"129.9 KB","2026-03-25T13:49:23.572783+00:00","2026-03-25T13:49:23.572783+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/178bdc24-ff6c-4bd1-8ad5-4ab2953491cf/1772623374076-___2.ai",1213356,"1.16 MB","2026-03-04T11:22:57.169209+00:00","2026-03-04T11:22:57.169209+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/188cd7af-a0bf-4762-ae52-6939360c42ee/1774363465783-_NPZ_PRINT-2026.ai",9228899,"8.80 MB","2026-03-24T14:44:27.238566+00:00","2026-03-24T14:44:27.238566+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/214c3158-6ed4-451c-b17f-591dd7c9758d/1775121390567-LOGO_KNESS.ai",27754,"27.1 KB","2026-04-02T09:16:32.586298+00:00","2026-04-02T09:16:32.586298+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/23ab84aa-c73c-4dbf-a138-67fec988a53a/1773058496804-_._.ai",7306543,"6.97 MB","2026-03-09T12:14:58.105867+00:00","2026-03-09T12:14:58.105867+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/27ca86fb-75af-449f-9b5e-45fbacae5939/1773051401110-logo_eco-korm_warm_ygreen__2024.ai",1427646,"1.36 MB","2026-03-09T10:16:42.81801+00:00","2026-03-09T10:16:42.81801+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/2b7f1ea6-5f7f-4448-8ce5-7207d92219f0/1773912648671-_.ai",1208929,"1.15 MB","2026-03-19T09:30:52.529791+00:00","2026-03-19T09:30:52.529791+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/39c83608-5c86-4a76-969c-cbef5a92cd64/1773757873386-Logo_KMZ.ai",1332834,"1.27 MB","2026-03-17T14:31:16.493474+00:00","2026-03-17T14:31:16.493474+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/39c83608-5c86-4a76-969c-cbef5a92cd64/1773757876579-Logo_KMZ_Vab_White_plashk.eps",1174026,"1.12 MB","2026-03-17T14:31:18.787968+00:00","2026-03-17T14:31:18.787968+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/3f16f345-48f3-4387-a9b5-28f5d65f6b6f/1773743220861-st1.ai",886425,"865.6 KB","2026-03-17T10:27:01.212527+00:00","2026-03-17T10:27:01.212527+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/3f16f345-48f3-4387-a9b5-28f5d65f6b6f/1773743221366-color_logo_2__.svg",25162,"24.6 KB","2026-03-17T10:27:01.562006+00:00","2026-03-17T10:27:01.562006+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/3f16f345-48f3-4387-a9b5-28f5d65f6b6f/1773743221695-color_logo_2___1_.svg",25050,"24.5 KB","2026-03-17T10:27:01.882312+00:00","2026-03-17T10:27:01.882312+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/3f16f345-48f3-4387-a9b5-28f5d65f6b6f/1773743221972-color_logo__.svg",25203,"24.6 KB","2026-03-17T10:27:02.148327+00:00","2026-03-17T10:27:02.148327+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/40f42c8d-c421-4c99-965b-7bcd556aca90/1772605042106-_.eps",5710014,"5.45 MB","2026-03-04T06:17:23.798471+00:00","2026-03-04T06:17:23.798471+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/40f42c8d-c421-4c99-965b-7bcd556aca90/1772605044104-photo_2026-02-25_15-38-11.jpg",186609,"182.2 KB","2026-03-04T06:17:24.151028+00:00","2026-03-04T06:17:24.151028+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/40f42c8d-c421-4c99-965b-7bcd556aca90/1772605044443-photo_2026-03-02_08-16-39.jpg",92686,"90.5 KB","2026-03-04T06:17:24.572821+00:00","2026-03-04T06:17:24.572821+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/446f594c-dabd-423d-83ec-cc1ccd111842/1773912164196-_.ai",1208929,"1.15 MB","2026-03-19T09:22:47.514295+00:00","2026-03-19T09:22:47.514295+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/4767a2bd-0179-4df8-83a3-7d2af9715a9a/1774623582266-___2.eps",1519238,"1.45 MB","2026-03-27T14:59:44.652339+00:00","2026-03-27T14:59:44.652339+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/5244fd26-c2a8-4fce-8a82-3fb02ee660de/1771339506425-ChatGPT_Image_12_._2026_._10_37_50.png",2278161,"2.17 MB","2026-02-17T14:45:07.488235+00:00","2026-02-17T14:45:07.488235+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/59b24a31-76ad-433e-8c3c-5c5e01fc7adc/1773041275871-_14.01_.xlsx",11467,"11.2 KB","2026-03-09T07:27:56.499209+00:00","2026-03-09T07:27:56.499209+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/7ca03b49-4095-49fb-bb25-78ac64dc8dfa/1772707911884-IMAGE_2026-03-05_12_51_43.jpg",31675,"30.9 KB","2026-03-05T10:51:52.822635+00:00","2026-03-05T10:51:52.822635+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/86187fba-31fe-404d-b511-322a78359507/1774260418218-pattern-zalivka.ai",546566,"533.8 KB","2026-03-23T10:06:58.603053+00:00","2026-03-23T10:06:58.603053+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/86187fba-31fe-404d-b511-322a78359507/1774260418690-LOGO_upright2.eps",1541610,"1.47 MB","2026-03-23T10:06:59.264262+00:00","2026-03-23T10:06:59.264262+00:00"
"teams/389719a7-5022-41da-bc49-11e7a3afbd98/design-briefs/8b3c9e5f-481e-407c-bf9f-82f48e19f51b/1773307644897-ag-logo_single_black.ai",3337692,"3.18 MB","2026-03-12T09:27:34.631725+00:00","2026-03-12T09:27:34.631725+00:00"
